Date,ws,sr,rh,temp
01/10/2016,0.69,112.36,61.95,29.11
02/10/2016,0.66,95.75,63.6,29.32
03/10/2016,0.67,109.16,61.2,30.04
04/10/2016,0.84,88.16,68.82,27.42
05/10/2016,0.5,41.74,73.61,24.81
06/10/2016,0.58,97,67.53,26.89
07/10/2016,0.83,116.3,64.02,27.19
08/10/2016,0.76,117.57,60.3,27.01
09/10/2016,0.59,112.86,60.5,26.96
10/10/2016,0.79,100.1,52.44,26.4
11/10/2016,0.91,118.69,54.28,25.4
12/10/2016,1.2,119.69,45.52,25.13
13/10/2016,1.21,121.22,42.19,24.84
14/10/2016,1.02,118.9,43.4,24.84
15/10/2016,0.82,114.73,47.63,23.54
16/10/2016,0.88,115.76,47.74,23.89
17/10/2016,0.83,115.8,46.14,23.8
18/10/2016,0.86,114.2,46.2,23.54
19/10/2016,0.75,111.71,46.35,23.8
20/10/2016,0.91,113.25,43.66,23.99
21/10/2016,1.12,112.17,41.6,24.23
22/10/2016,1.19,112.45,44.05,24.35
23/10/2016,1.21,104.76,43.64,23.7
24/10/2016,1.05,104.93,44.22,23.65
25/10/2016,1.22,110.17,47.86,23.28
26/10/2016,0.76,106.51,50.63,23.02
27/10/2016,0.79,106.28,50.46,22.29
28/10/2016,0.85,104.28,48.94,21.17
29/10/2016,0.44,94.05,56.62,20.58
30/10/2016,0.53,94.23,62.29,20.31
31/10/2016,0.43,85.22,65.44,19.59
01/11/2016,0.54,96.05,59.2,19.84
02/11/2016,0.44,73.28,63.53,19.55
03/11/2016,0.47,87.13,63.41,20.02
04/11/2016,0.62,93.9,58.56,19.88
05/11/2016,0.63,70.31,64.39,18.69
06/11/2016,0.46,72.42,66.7,18.02
07/11/2016,0.74,83.15,55.45,18.62
08/11/2016,1.25,95.6,50.72,18.51
09/11/2016,0.85,93.48,49.92,17.32
10/11/2016,0.48,85.65,54.55,17.66
11/11/2016,0.6,87.62,61.75,17.05
12/11/2016,0.59,88.47,62.84,17.44
13/11/2016,0.61,86.17,58.28,18.48
14/11/2016,0.4,25.47,58.88,17.92
15/11/2016,0.53,81.94,53.1,17.14
16/11/2016,0.74,87.38,51.01,16.29
17/11/2016,1.12,89.39,48.74,16.46
18/11/2016,0.82,91.94,53.34,15.49
19/11/2016,0.59,87.39,55.89,16.1
20/11/2016,0.59,88.14,63.23,15.83
21/11/2016,0.49,88.38,61.26,16.42
22/11/2016,0.82,91.41,46.75,17.9
23/11/2016,0.83,88.15,55.46,16.78
24/11/2016,0.89,84.32,49.71,16.92
25/11/2016,1.68,94.53,36.42,18.59
26/11/2016,1.53,94.59,35.65,19.74
27/11/2016,1.45,94.14,38.57,18.76
28/11/2016,1.06,86.21,43.32,16.74
29/11/2016,0.47,88.29,55.64,15.5
30/11/2016,0.73,64.22,78.2,14.52
01/12/2016,0.41,62.47,79.1,15.18
02/12/2016,0.4,69.57,77.61,14.59
03/12/2016,0.63,87.44,63.6,15.01
04/12/2016,0.6,89.51,57.7,14.07
05/12/2016,0.75,86.57,54.87,14.29
06/12/2016,0.52,68.14,67.59,13.71
07/12/2016,0.41,66.26,75.67,13.2
08/12/2016,0.57,67.53,74.22,12.05
09/12/2016,0.47,65.96,71.06,13.51
10/12/2016,1.19,62.26,77.78,12.29
11/12/2016,0.76,67.11,74.3,14.27
12/12/2016,0.58,73.31,64.88,15.1
13/12/2016,0.57,65.33,63.37,14.57
14/12/2016,0.88,71.68,64.4,13.41
15/12/2016,1.21,73.31,63.01,12.48
16/12/2016,0.67,70.33,61.55,11.81
17/12/2016,0.72,59.2,67.61,11.16
18/12/2016,0.8,69.09,64.99,10.92
19/12/2016,1.08,65.99,62.48,11.75
20/12/2016,1.64,53.94,59.71,12.89
21/12/2016,1.5,72.88,53.54,13.68
22/12/2016,0.75,70.69,59.79,12.15
23/12/2016,0.5,59.18,70.89,11.61
24/12/2016,0.95,60.78,71.89,12.06
25/12/2016,1.07,14.98,79.86,10.47
26/12/2016,0.79,70.11,69.83,11.94
27/12/2016,0.68,48.98,66.59,10.89
28/12/2016,0.64,68.23,62.22,11.88
29/12/2016,1.32,62.13,74.53,10.62
30/12/2016,1.47,52.59,77.99,9.46
31/12/2016,1.04,53.81,78.02,10.26
